Day;Hour;Minute;Second;Mission;srcPoint;dstPoint
0;0;1;32;pick&drop_mission;14188;13353
0;0;3;38;pick&drop_mission;13353;13346
0;0;37;55;pick&drop_mission;13346;14245
0;0;40;7;pick&drop_mission;14245;13343
0;0;42;39;pick&drop_mission;13343;14243
0;0;44;35;pick&drop_mission;14243;1542
0;0;28;10;pick&drop_mission;1542;197
0;0;30;45;pick&drop_mission;290;14188
0;0;35;42;pick&drop_mission;14188;13355
0;0;37;38;pick&drop_mission;13355;13353
0;0;39;38;pick&drop_mission;13353;14247
0;0;41;6;pick&drop_mission;14247;14192
0;0;45;28;pick&drop_mission;14192;13342
0;0;0;57;pick&drop_mission;14188;13355
0;0;3;22;pick&drop_mission;13355;14194
0;0;5;37;pick&drop_mission;14194;13344
0;0;31;26;pick&drop_mission;13344;1542
0;0;30;26;pick&drop_mission;1542;141
0;0;34;34;pick&drop_mission;297;14188
0;0;39;5;pick&drop_mission;14188;13351
0;0;41;32;pick&drop_mission;13351;14192
0;0;43;50;pick&drop_mission;14192;13343
0;0;54;34;pick&drop_mission;13343;1542
0;0;35;21;pick&drop_mission;13344;1549
0;0;57;39;pick&drop_mission;1549;197
0;0;0;28;pick&drop_mission;14188;13355
0;0;4;0;pick&drop_mission;13355;14194
0;0;6;16;pick&drop_mission;14194;1542
0;0;40;17;pick&drop_mission;1542;13344
0;0;43;15;pick&drop_mission;13344;197
0;0;1;48;pick&drop_mission;297;14190
0;0;7;16;pick&drop_mission;14190;13352
0;0;9;15;pick&drop_mission;13352;14192
0;0;11;33;pick&drop_mission;14192;13342
0;0;13;47;pick&drop_mission;13342;14196
0;0;15;22;pick&drop_mission;14196;14243
0;0;28;5;pick&drop_mission;14243;1549
0;0;59;30;pick&drop_mission;1549;141
0;0;20;44;pick&drop_mission;1549;197
0;0;23;50;pick&drop_mission;290;13353
0;0;33;42;pick&drop_mission;13353;1549
0;0;28;37;pick&drop_mission;14243;1542
0;0;8;37;pick&drop_mission;1542;197
0;0;11;15;pick&drop_mission;290;14188
0;0;15;4;pick&drop_mission;14188;13355
0;0;17;32;pick&drop_mission;13355;14194
0;0;20;7;pick&drop_mission;14194;13344
0;0;7;30;pick&drop_mission;1542;14188
0;0;11;35;pick&drop_mission;14188;431
0;0;27;6;pick&drop_mission;318;14293
0;0;30;45;pick&drop_mission;14293;14188
0;0;33;0;pick&drop_mission;14188;13357
0;0;35;3;pick&drop_mission;13357;13355
0;0;37;7;pick&drop_mission;13355;14192
0;0;39;23;pick&drop_mission;14192;13349
0;0;41;32;pick&drop_mission;13349;1542
0;0;52;58;pick&drop_mission;1542;197
0;0;55;34;pick&drop_mission;290;14188
0;0;59;20;pick&drop_mission;14188;13357
0;0;31;25;pick&drop_mission;13343;1542
0;0;54;12;pick&drop_mission;1542;332
0;0;3;59;pick&drop_mission;290;14188
0;0;42;0;pick&drop_mission;14188;13353
0;0;45;53;pick&drop_mission;13353;14245
0;0;50;25;pick&drop_mission;14245;14243
0;0;3;36;pick&drop_mission;14194;13344
0;0;52;4;pick&drop_mission;13344;1542
0;0;2;7;pick&drop_mission;14243;1542
0;0;13;49;pick&drop_mission;1542;13351
0;0;16;46;pick&drop_mission;13351;14192
0;0;18;35;pick&drop_mission;14192;197
0;0;30;4;pick&drop_mission;290;14293
0;0;34;8;pick&drop_mission;14293;14188
0;0;43;56;pick&drop_mission;14188;13357
0;0;47;33;pick&drop_mission;13357;13355
0;0;49;42;pick&drop_mission;13355;13351
0;0;51;51;pick&drop_mission;13351;14192
0;0;53;43;pick&drop_mission;14192;13346
0;0;55;40;pick&drop_mission;13346;14196
0;0;58;33;pick&drop_mission;14196;14243
0;0;13;30;pick&drop_mission;1542;325
0;0;16;11;pick&drop_mission;311;14293
0;0;19;57;pick&drop_mission;14293;14188
0;0;22;3;pick&drop_mission;14188;13357
0;0;24;15;pick&drop_mission;13357;13355
0;0;26;10;pick&drop_mission;13355;13351
0;0;28;29;pick&drop_mission;13351;14192
0;0;30;18;pick&drop_mission;14192;13346
0;0;32;16;pick&drop_mission;13346;14196
0;0;34;16;pick&drop_mission;14196;14243
0;0;36;20;pick&drop_mission;14243;1542
0;0;49;13;pick&drop_mission;1542;141
0;0;30;53;pick&drop_mission;13342;14243
0;0;9;5;pick&drop_mission;13344;1542
