Day;Hour;Minute;Second;Mission;srcPoint;dstPoint
0;0;1;10;missEBM;1524;1419
0;0;1;39;missEBM;1966;4709
0;0;3;2;missEBM;1966;2776
0;0;3;8;missEBM;1524;4793
0;0;3;40;missEBM;1977;4737
0;0;4;21;missEBM;1524;1419
0;0;4;34;missEBM;1966;4723
0;0;5;35;missEBM;1524;1419
0;0;5;58;missEBM;1966;4891
0;0;6;54;missEBM;1977;2786
0;0;9;26;missEBM;1977;8938
0;0;14;2;missEBM;1524;1419
0;0;16;45;missEBM;1524;1419
0;0;17;57;missEBM;1524;1419
0;0;19;15;missEBM;1524;1419
0;0;20;30;missEBM;1524;1419
0;0;22;16;missEBM;1524;1419
0;1;16;47;missEBM;1524;1419
0;1;20;5;missEBM;1524;1419
0;1;23;3;missEBM;1524;2846
0;1;24;19;missEBM;1524;1419
0;1;26;0;missEBM;1524;4851
0;1;28;30;missEBM;1524;2836
0;1;30;49;missEBM;1524;1419
0;1;41;8;missEBM;1524;1419
0;1;43;19;missEBM;1524;1419
0;1;44;34;missEBM;1524;1419
0;1;45;45;missEBM;1524;4837
0;1;47;0;missEBM;1524;1419
0;1;48;10;missEBM;1524;1419
0;1;49;50;missEBM;1524;1419
0;1;51;3;missEBM;1524;1419
0;1;52;22;missEBM;1524;1419
0;1;53;35;missEBM;1524;1419
0;1;55;1;missEBM;1524;1419
0;1;56;25;missEBM;1524;1419
0;1;57;40;missEBM;1524;1419
0;1;59;20;missEBM;1524;1419
0;2;0;35;missEBM;1524;1419
0;2;1;53;missEBM;1524;1419
0;2;3;10;missEBM;1524;1419
0;2;11;13;missEBM;1524;2846
0;2;14;32;missEBM;1524;1419
0;2;15;49;missEBM;1524;1419
0;2;17;2;missEBM;1524;1419
0;2;39;51;missEBM;1524;1419
0;2;42;1;missEBM;1524;1419
0;2;43;24;missEBM;1524;1419
0;2;44;37;missEBM;1524;1419
0;2;45;53;missEBM;1524;1419
0;2;47;9;missEBM;1524;1419
0;2;48;24;missEBM;1524;1419
0;2;49;38;missEBM;1524;2846
0;2;50;56;missEBM;1524;4851
0;3;22;19;missEBM;1524;1419
0;3;24;34;missEBM;1524;1419
0;3;25;52;missEBM;1524;1419
0;3;27;4;missEBM;1524;1419
0;3;29;22;missEBM;1524;8938
0;3;31;58;missEBM;1524;1419
0;3;33;16;missEBM;1524;1419
0;3;34;31;missEBM;1524;4667
0;3;35;46;missEBM;1524;2846
0;3;36;58;missEBM;1524;1419
0;3;38;28;missEBM;1524;1419
0;3;40;36;missEBM;1524;1419
0;3;51;59;missEBM;1524;1419
