Day;Hour;Minute;Second;Mission;srcPoint;dstPoint
0;0;0;57;inbound_K;16014;27360
0;0;0;59;inbound_L;2749;3366
0;0;1;39;inbound_L;2800;3392
0;0;3;15;inbound_K;15430;26783
0;0;4;55;inbound_L;2749;3470
0;0;6;28;inbound_L;2800;3444
0;0;7;24;inbound_K;15434;26867
0;0;7;54;inbound_K;16016;16270
0;0;8;32;inbound_L;2749;3262
0;0;9;18;inbound_K;1745;1970
0;0;11;5;inbound_K;27054;15692
0;0;15;11;inbound_K;14846;12765
0;0;18;28;outbound_L;3140;2404
0;0;18;57;inbound_L;2749;3340
0;0;20;0;inbound_L;2800;3342
0;0;21;13;inbound_L;2749;3314
0;0;22;15;inbound_K;15430;15606
0;0;22;52;inbound_L;2800;3344
0;0;24;15;inbound_L;2749;3394
0;0;27;20;outbound_K;21741;4952
0;0;27;46;inbound_L;2800;3298
0;0;28;40;inbound_K;15432;26835
0;0;32;15;outbound_L;3012;2400
0;0;32;17;inbound_K;14262;14429
0;0;33;29;inbound_L;2749;3420
0;0;36;51;inbound_K;13094;13270
0;0;37;26;inbound_L;2749;3496
0;0;37;34;inbound_K;16018;27375
0;0;38;32;inbound_L;2800;3264
0;0;40;34;inbound_K;15434;15607
0;0;41;21;inbound_L;2749;3340
0;0;41;29;inbound_K;16014;16191
0;0;42;17;inbound_K;13678;13859
0;0;43;5;inbound_K;14264;25708
0;0;44;3;inbound_L;2749;3396
0;0;44;19;inbound_K;6456;6627
0;0;45;4;inbound_K;27640;27461
0;0;48;12;outbound_K;19049;11236
0;0;52;19;inbound_K;6458;26298
0;0;53;50;inbound_K;8543;28629
0;0;55;46;inbound_K;15430;26882
0;0;58;47;inbound_K;8545;28633
0;1;2;27;inbound_K;8014;28002
0;1;4;9;inbound_K;6454;6664
0;1;4;22;inbound_L;2749;3314
0;1;8;51;inbound_K;16014;16196
0;1;15;6;inbound_K;27638;16233
0;1;17;9;inbound_L;2749;3340
0;1;18;58;outbound_K;28759;11232
0;1;21;6;inbound_K;15430;26881
0;1;21;33;inbound_L;2749;3392
0;1;22;5;outbound_L;2921;2519
0;1;22;12;inbound_L;2800;3418
0;1;23;37;inbound_L;2749;3366
0;1;24;33;inbound_L;2800;3470
0;1;25;57;inbound_K;14262;25713
0;1;27;2;inbound_L;2749;3496
0;1;27;23;inbound_K;6454;6632
0;1;27;58;inbound_L;2800;3444
0;1;28;52;inbound_K;1745;1976
0;1;30;15;outbound_K;13112;10232
0;1;30;57;inbound_L;2749;3418
0;1;31;28;inbound_L;2800;3262
0;1;31;46;outbound_K;30903;30659
0;1;33;54;inbound_L;2749;3264
0;1;34;11;outbound_K;26178;22332
0;1;34;24;inbound_L;2800;3314
0;1;36;6;outbound_L;3142;2404
0;1;36;47;inbound_L;2749;3340
0;1;37;8;outbound_K;16158;23436
0;1;37;42;inbound_K;13094;12240
0;1;38;18;inbound_L;2800;3446
0;1;39;28;outbound_K;10459;10730
0;1;40;38;outbound_K;20886;21075
0;1;40;49;inbound_L;2749;3448
0;1;42;39;outbound_K;10102;30019
0;1;44;35;inbound_L;2800;3392
0;1;44;36;inbound_K;16014;16238
0;1;44;44;outbound_K;1420;29809
0;1;45;51;inbound_K;14846;12807
0;1;47;27;inbound_L;2749;3444
0;1;47;50;inbound_K;13096;12231
0;1;48;19;inbound_L;2800;3316
0;1;49;10;outbound_K;18407;23438
0;1;51;2;outbound_K;5705;10732
0;1;52;32;outbound_K;5048;21780
0;1;52;34;inbound_L;2749;3366
0;1;53;50;outbound_K;23148;23440
0;1;55;21;inbound_L;2800;3470
0;1;57;19;inbound_K;16016;16158
0;1;58;56;inbound_K;14262;14485
0;1;59;5;inbound_L;2800;3368
0;2;0;10;inbound_L;2749;3314
0;2;1;14;outbound_K;6326;5952
0;2;1;51;inbound_K;8543;8744
0;2;3;23;inbound_K;13098;12265
0;2;8;23;inbound_L;2749;3370
0;2;8;32;inbound_K;15430;26839
0;2;8;58;inbound_L;2800;3342
0;2;9;55;outbound_L;2978;2400
0;2;9;57;inbound_K;8545;28759
0;2;9;59;inbound_K;13094;13112
0;2;10;25;inbound_L;2749;3472
0;2;12;17;inbound_L;2800;3316
0;2;13;16;inbound_K;16014;23148
0;2;13;27;inbound_K;14846;10459
0;2;14;31;inbound_K;13678;31510
0;2;14;41;inbound_L;2749;3394
0;2;18;58;inbound_L;2749;3288
0;2;19;50;inbound_L;2800;3262
0;2;22;11;outbound_L;2923;2400
0;2;22;41;outbound_L;3036;2404
0;2;22;44;inbound_L;2749;3498
0;2;23;26;outbound_L;3212;2412
0;2;23;28;inbound_K;14848;12770
0;2;24;9;inbound_K;1745;20886
0;2;24;13;inbound_L;2800;3396
0;2;26;1;inbound_L;2749;3474
0;2;28;7;inbound_K;14850;5705
0;2;30;29;inbound_L;2800;3318
0;2;31;33;inbound_K;1750;25087
0;2;32;3;inbound_L;2749;3264
0;2;33;14;inbound_K;6454;26178
0;2;36;0;inbound_L;2749;3418
0;2;36;28;inbound_L;2800;3340
0;2;37;22;inbound_K;1755;25046
0;2;38;27;outbound_L;3014;2396
0;2;39;12;outbound_L;2919;2400
0;2;39;57;outbound_L;3004;2404
0;2;40;42;outbound_L;3038;2408
0;2;41;10;inbound_K;13680;1420
0;2;41;42;outbound_L;3040;2412
0;2;41;44;inbound_K;14262;25633
0;2;41;46;inbound_L;2749;3444
0;2;42;13;outbound_L;3214;2416
0;2;43;28;outbound_L;3210;2396
0;2;46;22;inbound_K;6456;6706
0;2;49;22;inbound_L;2749;3392
0;2;50;20;inbound_K;6458;6705
0;2;51;15;inbound_K;13094;12206
0;2;52;13;outbound_L;2986;2404
0;2;52;56;inbound_L;2800;3470
0;2;53;45;inbound_L;2749;3418
0;2;54;6;inbound_K;6454;6711
0;2;57;14;outbound_L;3108;2408
0;2;57;26;inbound_K;1745;25051
0;2;57;56;inbound_K;15432;6326
0;2;57;58;inbound_K;14262;14532
0;2;58;44;outbound_L;2988;2416
0;3;19;15;inbound_K;15430;26801
0;3;21;55;outbound_K;28766;11232
0;3;29;47;inbound_K;8543;28550
0;3;34;48;outbound_L;3110;2516
0;3;34;50;outbound_L;3106;2428
0;3;36;18;outbound_L;3006;2424
0;3;36;20;inbound_L;2749;32322
0;3;36;48;outbound_L;3218;2519
0;3;38;40;inbound_L;2800;3392
0;3;39;48;outbound_L;2980;2400
0;3;40;47;outbound_K;11176;11234
0;3;41;20;outbound_L;3028;2388
0;3;41;24;outbound_L;3132;2396
0;3;41;26;inbound_L;2749;3340
0;3;41;48;inbound_K;6454;6710
0;3;43;45;inbound_L;2749;3314
0;3;45;12;inbound_L;2800;3262
0;3;45;15;inbound_K;8545;28553
0;3;45;54;inbound_L;2749;3290
0;3;46;19;outbound_L;2921;2404
0;3;46;49;outbound_L;3054;2408
0;3;48;49;outbound_L;3010;2516
0;3;48;51;inbound_K;15430;15700
0;3;49;34;outbound_L;3134;2428
0;3;50;19;outbound_L;3136;2416
0;3;50;22;inbound_L;2800;3342
0;3;51;4;inbound_K;28806;28766
0;3;51;6;inbound_L;2749;3366
0;3;52;35;outbound_L;3002;2424
0;3;53;43;inbound_L;2800;3418
0;3;54;12;inbound_L;2749;3470
0;3;55;22;inbound_K;14846;15074
0;3;55;25;inbound_K;8543;28555
0;3;57;35;outbound_L;3056;2412
0;3;57;50;inbound_L;2749;3368
0;3;58;39;inbound_K;1745;2023
0;3;59;22;inbound_K;8012;8249
0;3;59;58;inbound_K;14262;25676
0;4;0;41;inbound_L;2800;3296
0;4;0;48;inbound_L;2749;3340
0;4;1;52;inbound_K;15432;15658
0;4;5;5;inbound_L;2749;3292
0;4;5;48;inbound_L;2800;3262
