Day;Hour;Minute;Second;Mission;srcPoint;dstPoint
0;0;4;38;Outbound;28014;33534
0;0;4;40;Outbound;29506;33520
0;0;4;41;Outbound;29506;33520
0;0;4;43;Outbound;29506;33520
0;0;4;44;Outbound;29506;33533
0;0;4;45;Outbound;29506;33533
0;0;4;47;Outbound;29866;33534
0;0;4;48;Outbound;29866;33534
0;0;4;49;Outbound;29866;33534
0;0;4;51;Outbound;29866;33571
0;0;4;52;Outbound;29866;33571
0;0;4;53;Outbound;29866;33571
0;0;4;55;Outbound;29596;33533
0;0;4;56;Outbound;29596;33533
0;0;4;58;Outbound;30111;33571
0;0;4;59;Outbound;30111;33571
0;0;5;0;Outbound;30111;33572
0;0;5;2;Outbound;30111;33534
0;0;5;3;Outbound;30111;33571
0;0;5;4;Outbound;26733;33571
0;0;5;6;Outbound;26983;33571
0;0;5;7;Outbound;26983;33572
0;0;5;9;Outbound;29200;33533
0;0;5;10;Outbound;29200;33533
0;0;5;12;Outbound;29200;33534
0;0;5;13;Outbound;29200;33534
0;0;5;14;Outbound;29200;33572
0;0;5;16;Outbound;28039;33572
0;0;5;17;Outbound;28039;33572
0;0;5;18;Outbound;28039;33572
0;0;5;20;Outbound;28039;33572
0;0;30;30;Inbound_Putaway;33599;15909
0;1;5;32;Inbound;8920;6750
0;1;10;48;Inbound;8833;6750
0;1;15;21;Inbound_Putaway;33599;7281
0;1;19;57;Inbound;8920;6750
0;1;27;59;Inbound_Putaway;33599;313
0;1;28;7;Inbound;8920;6750
0;1;38;37;Inbound;8920;6750
0;1;47;54;Inbound;8833;16175
0;1;58;13;Inbound;8920;16175
0;2;17;22;Inbound;8920;16175
0;2;28;16;Inbound;8920;16175
0;2;36;11;Inbound;8920;16175
0;2;40;20;Outbound;27551;33464
0;2;40;21;Outbound;27551;33464
0;2;40;23;Outbound;29484;33449
0;2;40;24;Outbound;29484;33449
0;2;40;25;Outbound;29484;33449
0;2;40;27;Outbound;29484;33449
0;2;40;28;Outbound;29484;33449
0;2;40;29;Outbound;29484;33450
0;2;40;31;Outbound;30081;33450
0;2;40;32;Outbound;30081;33477
0;2;40;33;Outbound;27799;33463
0;2;40;35;Outbound;27799;33463
0;2;40;36;Outbound;27799;33463
0;2;40;37;Outbound;27799;33463
0;2;40;39;Outbound;27799;33464
0;2;40;40;Outbound;27856;33464
0;2;40;41;Outbound;27856;33464
0;2;40;43;Outbound;28721;33450
0;2;40;44;Outbound;28721;33450
0;2;40;45;Outbound;30591;33477
0;2;40;47;Outbound;30591;33477
0;2;40;48;Outbound;30591;33477
0;2;40;49;Outbound;30591;33477
0;2;40;51;Outbound;30591;33477
0;2;40;52;Outbound;26777;33477
0;2;40;54;Outbound;29289;33450
0;2;40;55;Outbound;29289;33450
0;2;40;56;Outbound;29289;33450
0;2;40;58;Outbound;29289;33463
0;2;40;59;Outbound;29289;33463
0;2;41;0;Outbound;28088;33463
0;2;41;1;Outbound;28088;33464
0;2;41;3;Outbound;28088;33477
0;2;41;5;Outbound;26733;33533
0;2;44;45;Inbound;8920;14938
0;2;53;30;Inbound;8920;14938
0;3;2;59;Inbound;8920;14938
0;3;14;14;Inbound;8920;14938
0;3;26;54;Outbound;29810;33464
0;3;29;25;Inbound;8920;14938
0;3;40;33;Inbound;8920;14938
0;3;46;11;Inbound;8920;15179
0;3;55;1;Inbound;8920;15179
0;4;3;41;Inbound;8920;15179
0;4;10;55;Inbound;8920;15179
0;4;19;58;Inbound;8920;15179
0;4;29;45;Inbound;8920;14019
0;4;38;3;Inbound;8920;5898
0;4;39;4;Inbound;8833;14019
0;4;41;14;Inbound;8920;5898
