Day;Hour;Minute;Second;Mission;srcPoint;dstPoint
0;12;16;0;transport;29874;19699
0;12;21;52;transport;29874;19928
0;12;41;42;transport;29874;18618
0;13;59;53;transport;29874;21777
0;14;0;47;transport;29874;19258
0;14;13;13;transport;20567;21991
0;15;44;46;transport;29874;20567
0;16;33;5;transport;29874;21757
0;16;34;25;transport;29874;20274
0;16;34;47;transport;29874;18622
0;16;35;49;transport;29871;21398
0;16;36;9;transport;29871;19262
0;16;56;2;transport;29871;19716
0;16;57;39;transport;29870;19523
0;16;58;25;transport;29870;18626
0;17;20;28;transport;29874;18926
0;18;4;24;transport;29871;21701
0;18;5;5;transport;29874;21705
0;18;6;7;transport;29874;20547
0;18;6;45;transport;29870;21849
0;18;7;25;transport;29870;19709
0;18;41;4;transport;29871;18617
0;18;41;46;transport;29870;19933
0;18;42;8;transport;29874;21793
0;18;43;26;transport;29874;19937
0;18;44;23;transport;29873;21401
0;18;44;42;transport;29873;20538
0;18;45;36;transport;29873;19721
0;12;15;17;transport;29874;20304
0;12;24;9;transport;29874;19932
0;12;24;52;transport;29874;19515
0;12;42;28;transport;29874;20531
0;14;0;26;transport;29874;18922
0;14;13;14;transport;20529;21991
0;16;33;24;transport;29874;19936
0;16;34;25;transport;29874;19519
0;16;35;9;transport;29871;21649
0;16;35;30;transport;29874;20535
0;16;56;43;transport;29871;19940
0;16;57;0;transport;29871;21697
0;17;20;6;transport;29871;20278
0;17;20;50;transport;29874;21402
0;17;21;10;transport;29874;19720
0;18;2;42;transport;29871;18930
0;18;5;25;transport;29874;18634
0;18;5;47;transport;29874;19270
0;18;6;45;transport;29870;18938
0;18;7;5;transport;29870;21410
0;18;7;45;transport;29870;19253
0;18;41;4;transport;29871;19944
0;18;41;25;transport;29870;21842
0;18;41;46;transport;29870;18923
0;18;43;6;transport;29874;21758
0;18;43;26;transport;29874;21846
0;18;45;1;transport;29873;19265
